date,time,vendor,amount,category
2024/12/23,14:44:55 ,SUKIYA ,580,Food
2024/12/23,10:06:10 ,SEVEN-ELEVEN ,276,Transport
2024/12/21,23:12:05 ,SEVEN-ELEVEN ,352,Select category
2024/12/21,21:02:19 ,FAMILYMART ,440,Select category
2024/12/21,17:33:22 ,NIKUNOHANAMASA SHINNIHO ,2176,Select category
2024/12/21,16:43:02 ,DAISO ,8709,Select category
2024/12/21,03:41:02 ,FAMILYMART ,300,Select category
2024/12/21,01:22:26 ,SEVEN-ELEVEN ,563,Select category
2024/12/20,22:09:52 ,NIKUNOHANAMASAPURASU OI ,305,Select category
2024/12/20,21:58:46 ,KONAOOIMATITEN ,2860,Select category
2024/12/20,20:16:27 ,NIKUNOHANAMASA SHINNIHO ,152,Select category
2024/12/20,13:38:32 ,FAMILYMART ,550,Select category
2024/12/20,00:12:30 ,FAMILYMART ,565,Select category
2024/12/19,21:12:52 ,TEPCO ,5646,Select category
2024/12/19,19:45:48 ,NIKUNOHANAMASA SHINNIHO ,1358,Select category
2024/12/19,16:09:26 ,FAMILYMART ,362,Select category
2024/12/19,15:43:47 ,SEVEN-ELEVEN ,724,Select category
2024/12/18,13:37:37 ,BANKOKUPONI-SHIYOKUDO I ,900,Select category
2024/12/17,19:55:39 ,NIKUNOHANAMASA SHINNIHO ,152,Select category
2024/12/17,14:05:29 ,NATARA-JI ,1300,Select category
2024/12/16,16:17:13 ,SEVEN-ELEVEN ,149,Select category
2024/12/16,13:36:00 ,SUKIYA ,450,Select category
2024/12/16,12:20:06 ,AMAZON.CO.JP ,11999,Select category
2024/12/15,18:02:26 ,HOBIOFU ,220,Select category
2024/12/15,16:53:42 ,SEVEN-ELEVEN ,602,Select category
2024/12/15,05:20:40 ,AMAZON.CO.JP ,498,Select category
2024/12/14,20:54:03 ,DAISO ,1765,Select category
2024/12/14,20:01:17 ,DECKS TOKYO BEACH ,1540,Select category
2024/12/14,19:49:39 ,DECKS TOKYO BEACH ,350,Select category
2024/12/13,22:30:56 ,NIKUNOHANAMASAPURASU OI ,421,Select category
2024/12/13,22:20:01 ,KONAOOIMATITEN ,4510,Select category
2024/12/13,15:44:07 ,SEVEN-ELEVEN ,230,Select category
2024/12/13,11:50:22 ,SEVEN-ELEVEN ,183,Select category
2024/12/13,10:26:12 ,DAILY YAMAZAKI ,340,Select category
2024/12/12,13:37:14 ,SUKIYA ,420,Select category
