date,time,vendor,amount,category
2025-01-22,07:39:48,JR EAST MOBILE SUICA ,1000,Uncategorized
2025-01-22,07:39:21,JR EAST MOBILE SUICA ,1000,Uncategorized
2025-01-22,00:55:16,MERUKARI ,8500,Uncategorized
2025-01-21,20:49:30,KIYUUSHIYUUJIYANGARAAKIHA ,5400,Uncategorized
2025-01-20,21:06:57,NIKUNOHANAMASA SHINNIHO ,978,Uncategorized
2025-01-20,13:58:40,SEVEN-ELEVEN ,884,Uncategorized
2025-01-19,22:07:14,JR EAST MOBILE SUICA ,1000,Uncategorized
2025-01-19,20:28:07,SAIZERIYA/NFC ,1500,Uncategorized
2025-01-19,19:11:24,DKELLY ASAKUSATEN ,858,Uncategorized
2025-01-19,15:52:24,SEVEN-ELEVEN ,668,Uncategorized
2025-01-18,22:01:05,NAKAU ,1910,Uncategorized
2025-01-18,19:59:11,NIKUNOHANAMASA SHINNIHO ,1319,Uncategorized
2025-01-18,16:29:13,AMAZON.CO.JP ,1999,Uncategorized
2025-01-18,15:09:51,TEMU.COM ,2305,Uncategorized
2025-01-18,14:53:08,AMAZON.CO.JP ,1911,Uncategorized
2025-01-17,23:27:00,NIKUNOHANAMASAPURASU OI ,152,Uncategorized
2025-01-17,13:28:56,SEVEN-ELEVEN ,537,Uncategorized
2025-01-17,03:53:14,AMAZON.CO.JP ,4999,Uncategorized
2025-01-16,17:30:05,SEVEN-ELEVEN ,171,Uncategorized
2025-01-16,15:09:40,Katsu lunch,700,Uncategorized
2025-01-15,20:37:04,DAISO ,555,Uncategorized
2025-01-15,17:23:39,SEVEN-ELEVEN ,453,Uncategorized
2025-01-15,13:38:02,cash withdrawal,10000,Uncategorized
2025-01-15,13:37:35,PayPay top up,10000,Uncategorized
2025-01-15,13:29:12,shiv Shakti lunch Amount,800,Uncategorized
2025-01-14,23:57:19,WELCIA AKIHABARAEKIMAETEN ,418,Uncategorized
2025-01-14,22:28:38,,309,Uncategorized
2025-01-14,22:26:04,Daiso Amount,440,Uncategorized
2025-01-14,12:50:32,HOKEIKAKUGIYOZASAKABA ,900,Uncategorized
2025-01-13,18:56:59,KIYUUSHIYUUJIYANGARAAKIHA ,3050,Uncategorized
2025-01-13,18:05:04,SEVEN-ELEVEN ,352,Uncategorized
2025-01-12,23:25:46,AMAZON.CO.JP ,550,Uncategorized
2025-01-12,22:57:24,KONA KABUKICHIYOTEN ,2690,Uncategorized
2025-01-12,21:19:22,FAMILYMART ,220,Uncategorized
2025-01-12,19:53:33,FAMILYMART ,756,Uncategorized
2025-01-12,01:11:56,AMAZON.CO.JP ,3399,Uncategorized
2025-01-11,23:58:39,JR EAST MOBILE SUICA ,3000,Uncategorized
2025-01-11,22:56:24,FAMILYMART ,684,Uncategorized
2025-01-11,21:53:27,KIYUUSHIYUUJIYANGARAAKIHA ,3100,Uncategorized
2025-01-11,20:51:09,SEVEN-ELEVEN ,352,Uncategorized
2025-01-10,20:29:25,AEON GROUP ,140,Uncategorized
2025-01-10,20:00:05,JR EAST MOBILE SUICA ,1000,Uncategorized
2025-01-10,14:39:28,AMAZON.CO.JP ,999,Uncategorized
2025-01-10,13:59:12,HOKEIKAKUGIYOZASAKABA ,880,Uncategorized
2025-01-09,22:43:46,LAWSON ,220,Uncategorized
2025-01-09,15:01:58,Office coffee,250,Uncategorized
2025-01-09,15:01:19,Katsu Place,750,Uncategorized
2025-01-09,11:59:21,FAMILYMART ,207,Uncategorized
2025-01-07,02:21:28,AMAZON.CO.JP ,999,Uncategorized
2025-01-05,15:49:47,SEVEN-ELEVEN ,138,Food
2025-01-04,21:41:36,KONAOOIMATITEN ,3410,Food
2025-01-04,19:15:45,SEVEN-ELEVEN ,220,Uncategorized
2025-01-03,20:51:50,AEON GROUP ,214,Groceries
2025-01-03,17:41:52,TOKYO SOLAMACHI ,770,Uncategorized
2025-01-03,01:00:03,FAMILYMART ,577,Uncategorized
2025-01-02,15:37:38,I-SAITOTAKASAKI ,2600,Uncategorized
2025-01-02,11:18:46,TOKYO SKYTREE ,1475,Uncategorized
2025-01-02,07:10:40,SEVEN-ELEVEN ,293,Uncategorized
